Unnamed: 0;name;time_series_length;window_length;num_of_anomalies;ts_comparison_name;mmd_value;dwt_value;shapelet_similarity
1468;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS100_data.out;0.5173538148488549;537860.159;1.0
1469;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS10_data.out;0.5172772915566191;2573897.649;1.0
1470;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS11_data.out;0.5178075465088239;7666828.879;1.0
1471;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS12_data.out;0.5183580872507015;3192392.984;1.0
1472;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS13_data.out;0.517068853293208;6511456.118;1.0
1473;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS14_data.out;0.5167462222418746;2506332.389;1.0
1474;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS15_data.out;0.5176429108142174;3955636.888;1.0
1475;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS16_data.out;0.5183660978952628;13389450.711;1.0
1476;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS17_data.out;0.5184040673674024;10925031.587;1.0
1477;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS18_data.out;0.5180264231742868;3249335.674;1.0
1478;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS19_data.out;0.5185573103780847;2900800.452;1.0
1479;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS1_data.out;0.5178590082011344;2993957.827;1.0
1480;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS20_data.out;0.5184048405991889;3057994.125;1.0
1481;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS21_data.out;0.5183320392135072;10437437.63;1.0
1482;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS22_data.out;0.5183355212883428;11457368.923;1.0
1483;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS23_data.out;0.5187746117887891;795327.71;1.0
1484;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS24_data.out;0.5191227213040667;331813.692;1.0
1485;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS25_data.out;0.517761931931302;7343280.05;1.0
1486;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS26_data.out;0.5167157423767803;11253354.97;1.0
1487;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS27_data.out;0.5186611865736209;3928051.545;1.0
1488;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS28_data.out;0.5187244355468196;2525254.096;1.0
1489;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS29_data.out;0.5185261957697316;7164308.402;1.0
1490;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS2_data.out;0.518421024208727;10796554.026;1.0
1491;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS30_data.out;0.5177373151479173;10244307.791;1.0
1492;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS31_data.out;0.5186150583901886;3206823.659;1.0
1493;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS32_data.out;0.5183859818758827;2007353.911;1.0
1494;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS33_data.out;0.5181196022559318;4837914.065;1.0
1495;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS34_data.out;0.5184262508299452;8230445.501;1.0
1496;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS35_data.out;0.5185794040947873;5100212.747;1.0
1497;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS36_data.out;0.518476288076406;8330604.118;1.0
1498;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS37_data.out;0.518556599955887;2902044.67;1.0
1499;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS38_data.out;0.5179028596907418;3427938.302;1.0
1500;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS39_data.out;0.5184401003292134;3450238.144;1.0
1501;MGAB_add_random_walk_trend_01_8.test.out;10000;48;0;YahooA3Benchmark-TS3_data.out;0.5183625896571956;7441517.471;1.0
